Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/BluSunrize/ImmersiveEngineering,https://sourcegraph.com/github.com/BluSunrize/ImmersiveEngineering,src/main/java/blusunrize/immersiveengineering/common/network/MessageMagnetEquip.java,https://sourcegraph.com/github.com/BluSunrize/ImmersiveEngineering/-/blob/src/main/java/blusunrize/immersiveengineering/common/network/MessageMagnetEquip.java,"[src/main/java/blusunrize/immersiveengineering/common/network/MessageMagnetEquip.java, [[0, 13]]]","[43, [[0, 15]]]"
content,github.com/geosolutions-it/imageio-ext,https://sourcegraph.com/github.com/geosolutions-it/imageio-ext,plugin/jmagickjpeg/src/main/java/it/geosolutions/imageio/plugins/jpeg/JpegJMagickImageReader.java,https://sourcegraph.com/github.com/geosolutions-it/imageio-ext/-/blob/plugin/jmagickjpeg/src/main/java/it/geosolutions/imageio/plugins/jpeg/JpegJMagickImageReader.java,"[plugin/jmagickjpeg/src/main/java/it/geosolutions/imageio/plugins/jpeg/JpegJMagickImageReader.java, [[19, 32]]]","[537, [[0, 15]]]"
content,github.com/TogAr2/MinestomPvP,https://sourcegraph.com/github.com/TogAr2/MinestomPvP,src/main/java/io/github/togar2/pvp/utils/FluidUtil.java,https://sourcegraph.com/github.com/TogAr2/MinestomPvP/-/blob/src/main/java/io/github/togar2/pvp/utils/FluidUtil.java,"[src/main/java/io/github/togar2/pvp/utils/FluidUtil.java, [[0, 13]]]","[74, [[0, 17]]]"
content,github.com/fiji/Trainable_Segmentation,https://sourcegraph.com/github.com/fiji/Trainable_Segmentation,src/main/java/trainableSegmentation/WekaSegmentation.java,https://sourcegraph.com/github.com/fiji/Trainable_Segmentation/-/blob/src/main/java/trainableSegmentation/WekaSegmentation.java,"[src/main/java/trainableSegmentation/WekaSegmentation.java, [[0, 13]]]","[695, [[0, 30]]]"
content,github.com/TheCoder4eu/BootsFaces-OSP,https://sourcegraph.com/github.com/TheCoder4eu/BootsFaces-OSP,src/main/java/net/bootsfaces/component/tab/TabRepeat.java,https://sourcegraph.com/github.com/TheCoder4eu/BootsFaces-OSP/-/blob/src/main/java/net/bootsfaces/component/tab/TabRepeat.java,"[src/main/java/net/bootsfaces/component/tab/TabRepeat.java, [[0, 13]]]","[810, [[0, 9]]]"
content,github.com/robo-code/robocode,https://sourcegraph.com/github.com/robo-code/robocode,robocode.core/src/main/java/net/sf/robocode/battle/events/BattleEventDispatcher.java,https://sourcegraph.com/github.com/robo-code/robocode/-/blob/robocode.core/src/main/java/net/sf/robocode/battle/events/BattleEventDispatcher.java,"[robocode.core/src/main/java/net/sf/robocode/battle/events/BattleEventDispatcher.java, [[14, 27]]]","[33, [[0, 9]]]; [39, [[0, 9]]]"
content,github.com/OHDSI/WhiteRabbit,https://sourcegraph.com/github.com/OHDSI/WhiteRabbit,rabbit-core/src/main/java/org/ohdsi/databases/DBConnector.java,https://sourcegraph.com/github.com/OHDSI/WhiteRabbit/-/blob/rabbit-core/src/main/java/org/ohdsi/databases/DBConnector.java,"[rabbit-core/src/main/java/org/ohdsi/databases/DBConnector.java, [[12, 25]]]","[33, [[0, 19]]]"
content,github.com/mikera/vectorz,https://sourcegraph.com/github.com/mikera/vectorz,src/main/java/mikera/vectorz/impl/ADenseArrayVector.java,https://sourcegraph.com/github.com/mikera/vectorz/-/blob/src/main/java/mikera/vectorz/impl/ADenseArrayVector.java,"[src/main/java/mikera/vectorz/impl/ADenseArrayVector.java, [[0, 13]]]","[103, [[0, 9]]]; [117, [[0, 9] [0, 9]]]; [212, [[0, 9] [0, 9]]]; [227, [[0, 9] [0, 9]]]; [264, [[0, 9] [0, 9]]]; [279, [[0, 9] [0, 9]]]"
content,github.com/Galigator/openllet,https://sourcegraph.com/github.com/Galigator/openllet,module-core/src/main/java/openllet/core/boxes/abox/Node.java,https://sourcegraph.com/github.com/Galigator/openllet/-/blob/module-core/src/main/java/openllet/core/boxes/abox/Node.java,"[module-core/src/main/java/openllet/core/boxes/abox/Node.java, [[12, 25]]]","[285, [[0, 23]]]"
content,github.com/skyscreamer/JSONassert,https://sourcegraph.com/github.com/skyscreamer/JSONassert,src/main/java/org/skyscreamer/jsonassert/ArrayValueMatcher.java,https://sourcegraph.com/github.com/skyscreamer/JSONassert/-/blob/src/main/java/org/skyscreamer/jsonassert/ArrayValueMatcher.java,"[src/main/java/org/skyscreamer/jsonassert/ArrayValueMatcher.java, [[0, 13]]]","[177, [[0, 19] [0, 13] [0, 11]]]"
content,github.com/sensepost/mallet,https://sourcegraph.com/github.com/sensepost/mallet,src/main/java/com/sensepost/mallet/channel/ProxyChannel.java,https://sourcegraph.com/github.com/sensepost/mallet/-/blob/src/main/java/com/sensepost/mallet/channel/ProxyChannel.java,"[src/main/java/com/sensepost/mallet/channel/ProxyChannel.java, [[0, 13]]]","[155, [[0, 15]]]"
content,github.com/uwol/proleap-cobol-parser,https://sourcegraph.com/github.com/uwol/proleap-cobol-parser,src/main/java/io/proleap/cobol/asg/metamodel/impl/ScopeImpl.java,https://sourcegraph.com/github.com/uwol/proleap-cobol-parser/-/blob/src/main/java/io/proleap/cobol/asg/metamodel/impl/ScopeImpl.java,"[src/main/java/io/proleap/cobol/asg/metamodel/impl/ScopeImpl.java, [[0, 13]]]","[2020, [[0, 18] [0, 18]]]"
content,github.com/tzaeschke/ode4j,https://sourcegraph.com/github.com/tzaeschke/ode4j,demo/src/main/java/org/ode4j/demo/DemoConvex.java,https://sourcegraph.com/github.com/tzaeschke/ode4j/-/blob/demo/src/main/java/org/ode4j/demo/DemoConvex.java,"[demo/src/main/java/org/ode4j/demo/DemoConvex.java, [[5, 18]]]","[70, [[0, 9] [0, 9]]]"
content,github.com/uwol/computational-economy,https://sourcegraph.com/github.com/uwol/computational-economy,src/main/java/io/github/uwol/compecon/math/impl/CESFunctionImpl.java,https://sourcegraph.com/github.com/uwol/computational-economy/-/blob/src/main/java/io/github/uwol/compecon/math/impl/CESFunctionImpl.java,"[src/main/java/io/github/uwol/compecon/math/impl/CESFunctionImpl.java, [[0, 13]]]","[46, [[0, 9]]]; [50, [[0, 9]]]; [53, [[0, 9]]]; [58, [[0, 9]]]"
